"Date","Price","Open","High","Low","Vol.","Change %"
"10/04/2024","196.01","197.00","202.90","196.00","186.88K","0.01%"
"10/03/2024","196.00","199.98","202.00","195.00","62.63K","0.00%"
"10/02/2024","196.00","197.00","205.50","195.00","190.15K","-1.01%"
"10/01/2024","198.00","192.35","198.40","188.00","119.95K","3.55%"
"09/30/2024","191.21","199.99","202.90","191.01","102.98K","-3.96%"
"09/27/2024","199.10","195.01","207.70","195.00","385.87K","0.56%"
"09/26/2024","198.00","210.00","210.00","190.00","532.11K","-2.94%"
"09/25/2024","204.00","190.01","206.00","190.01","1.08M","7.51%"
"09/24/2024","189.75","184.89","190.00","182.00","299.45K","4.49%"
"09/23/2024","181.60","179.50","185.00","179.50","195.18K","0.89%"
"09/20/2024","180.00","175.47","182.45","171.00","547.54K","3.45%"
"09/19/2024","174.00","170.10","179.40","169.00","381.15K","1.22%"
"09/18/2024","171.90","172.07","174.00","170.00","56.87K","-0.35%"
"09/16/2024","172.50","170.00","173.00","168.00","64.01K","0.85%"
"09/13/2024","171.05","175.50","177.94","169.70","131.16K","-1.13%"
"09/12/2024","173.00","175.00","176.94","172.00","169.42K","-0.46%"
"09/11/2024","173.80","178.00","178.00","171.50","90.00K","-0.66%"
"09/10/2024","174.95","174.30","177.47","168.51","279.13K","0.55%"
"09/09/2024","174.00","164.48","179.72","163.38","843.58K","6.10%"
"09/06/2024","164.00","162.19","164.50","161.05","164.92K","1.56%"
"09/05/2024","161.48","163.99","163.99","159.50","95.28K","-0.32%"
"09/04/2024","162.00","155.75","162.05","155.75","236.06K","4.18%"
"09/03/2024","155.50","154.00","158.85","153.80","96.20K","-0.32%"
"09/02/2024","156.00","159.99","160.19","155.15","35.15K","-1.27%"
"08/30/2024","158.00","159.01","160.50","156.00","135.22K","-0.64%"
"08/29/2024","159.02","158.51","163.90","156.80","513.05K","0.33%"
