Date,Price,Open,High,Low,Vol.,Change %
12/05/2024,208.65,206.65,211.5,204.51,3.38M,1.29%
12/04/2024,206,204.76,206,202.52,1.31M,0.39%
12/03/2024,205.2,202,207,199.45,2.71M,1.89%
12/02/2024,201.4,200.45,202,200.45,818.29K,0.70%
11/29/2024,200,201.13,202,198.1,3.91M,-0.99%
11/28/2024,201.99,203.6,205.01,200.03,975.57K,-0.62%
11/27/2024,203.25,198.8,205,195.31,2.12M,4.28%
11/26/2024,194.9,198,199.99,191,2.16M,-1.81%
11/25/2024,198.49,203,204,198,2.11M,-2.70%
11/22/2024,203.99,213,213,203.51,1.95M,-2.63%
11/21/2024,209.5,198.26,213.99,197.96,6.78M,5.48%
11/20/2024,198.61,199.85,200,198,764.42K,-0.49%
11/19/2024,199.59,198.05,199.74,197.5,2.19M,1.32%
11/18/2024,196.99,200.82,201,196.95,564.67K,-1.78%
11/15/2024,200.56,199.6,200.97,199.4,840.97K,0.48%
11/14/2024,199.6,199.02,199.97,199.02,358.34K,0.00%
11/13/2024,199.6,199,200.15,198.26,917.86K,0.01%
11/12/2024,199.59,200,200.5,198.4,938.26K,0.00%
11/11/2024,199.59,200.74,200.78,198.3,1.28M,0.27%
11/08/2024,199.05,199.9,201.1,198.01,2.72M,0.03%
11/07/2024,199,195.55,199.05,194.61,2.12M,2.05%
11/06/2024,195,196,198.4,194,1.61M,-0.51%
11/05/2024,196,196,197.9,194.85,1.61M,-0.23%
11/04/2024,196.45,196.75,196.98,192.92,899.49K,1.00%
11/01/2024,194.5,193.99,196,190.05,757.81K,0.31%
10/31/2024,193.89,198.74,199.9,192.51,731.35K,-2.08%
10/30/2024,198,197.99,202,196,1.73M,0.13%
10/29/2024,197.75,201.99,204.7,191.99,1.63M,-2.10%
10/28/2024,201.99,209,212,201.56,907.00K,-1.94%
10/25/2024,205.99,202.7,215,199.52,2.71M,0.48%
10/24/2024,205,197.35,205.5,196.11,2.52M,3.43%
10/23/2024,198.2,197,199.05,197,1.06M,0.61%
10/22/2024,197,199,199,196.04,366.24K,-0.41%
10/21/2024,197.81,196,198.05,195,907.35K,1.12%
10/18/2024,195.61,198.5,199,194.95,437.79K,-1.65%
10/17/2024,198.9,198,201.58,195.5,1.47M,0.54%
10/16/2024,197.84,196.81,197.9,192,3.31M,0.66%
10/15/2024,196.55,188,198,185.11,9.48M,3.64%
10/14/2024,189.64,198.3,199.9,185.1,1.95M,-4.71%
10/11/2024,199.01,193.9,199.89,193.9,1.14M,2.23%
10/10/2024,194.66,201,201.01,194.11,4.43M,-3.68%
10/09/2024,202.1,202.02,205.6,197.01,1.22M,-0.88%
10/08/2024,203.9,197.5,205.6,196.1,3.43M,3.77%
10/07/2024,196.5,194,198.4,192.01,2.03M,1.39%
10/04/2024,193.8,191,194.4,187.1,1.83M,1.60%
10/03/2024,190.74,187.12,193.7,187.02,2.41M,2.27%
10/02/2024,186.5,189.9,190.11,186.1,936.55K,-1.84%
10/01/2024,190,191.45,191.9,189,965.91K,-0.51%
09/30/2024,190.97,192.5,192.5,188.01,621.04K,1.10%
09/27/2024,188.9,187.17,191.5,186,716.14K,0.64%
09/26/2024,187.7,190.2,190.4,185,894.30K,-0.69%
09/25/2024,189,187.02,191.9,187.02,2.22M,0.53%
09/24/2024,188,190.02,193.49,185.4,3.65M,-1.96%
09/23/2024,191.75,185.7,195.99,182.7,2.91M,3.43%
09/20/2024,185.4,190,190,182.05,6.93M,-1.70%
09/19/2024,188.6,180,190.7,180,3.06M,4.20%
09/18/2024,180.99,172.6,180.99,172.6,5.91M,4.62%
09/16/2024,173,172.11,174.5,171,485.97K,0.87%
09/13/2024,171.5,168.85,171.99,168.85,4.81M,2.55%
09/12/2024,167.24,167.5,167.65,166,814.85K,0.44%
09/11/2024,166.5,170,170.4,166.5,1.26M,-2.00%
09/10/2024,169.9,165,172,165,1.57M,2.67%
09/09/2024,165.48,164.84,165.5,164,349.41K,0.41%
09/06/2024,164.8,164.79,166,164,4.49M,0.06%
09/05/2024,164.7,164.5,165,162.91,393.44K,0.30%
09/04/2024,164.2,161.48,164.2,160.47,530.58K,1.67%
09/03/2024,161.5,161.1,161.84,160,187.70K,-0.31%
09/02/2024,162,162,162.1,160.35,511.22K,0.62%
08/30/2024,161,157.2,162.1,157.2,4.30M,2.54%
08/29/2024,157.01,158,159.95,156.79,1.18M,-1.25%
